start,Beacon,data
START,,
,1,83
,2,46
,3,71
,4,75
START,,
,1,93
,3,69
,4,76
,2,43
START,,
,1,86
,4,77
,2,54
,3,64
START,,
,4,80
,3,58
,2,45
,1,85
START,,
,1,94
,4,70
,3,59
,2,47
START,,
,1,91
,4,72
,3,62
,2,54
START,,
,1,95
,3,74
,2,46
,4,69
START,,
,4,65
,3,61
,2,45
,1,86
START,,
,1,87
,4,75
,2,59
,3,67
START,,
,1,90
,4,69
,3,65
,2,41
START,,
,1,92
,4,74
,3,69
,2,47
START,,
,1,86
,4,75
,2,52
,3,63
START,,
,1,97
,4,74
,2,42
,3,63
START,,
,1,89
,2,58
,3,61
,4,78
START,,
,1,88
,2,50
,3,67
,4,81
START,,
